YLR069C	S000004059
YLR070C	S000004060
YLR071C	S000004061
YLR072W	S000004062
YLR073C	S000004063
YLR074C	S000004064
YLR075W	S000004065
YLR076C	S000004066
YLR077W	S000004067
YLR078C	S000004068
YLR079W	S000004069
YLR080W	S000004070
YLR081W	S000004071
YLR082C	S000004072
YLR083C	S000004073
YLR084C	S000004074
YLR085C	S000004075
YLR086W	S000004076
YLR087C	S000004077
YLR088W	S000004078
YLR089C	S000004079
YLR090W	S000004080
YLR091W	S000004081
YLR092W	S000004082
YLR093C	S000004083
YLR094C	S000004084
YLR095C	S000004085
YLR096W	S000004086
YLR097C	S000004087
YLR098C	S000004088
YLR099C	S000004089
YLR099W-A	S000007618
YLR100W	S000004090
YLR101C	S000004091
YLR102C	S000004092
YLR103C	S000004093
YLR104W	S000004094
YLR105C	S000004095
YLR106C	S000004096
YLR107W	S000004097
YLRCdelta5	S000007067
YLR108C	S000004098
YLR109W	S000004099
YLR110C	S000004100
YLR111W	S000004101
YLR112W	S000004102
YLR113W	S000004103
YLRWsigma2	S000007095
YLR114C	S000004104
YLR115W	S000004105
YLR116W	S000004106
YLR117C	S000004107
YLR118C	S000004108
YLR119W	S000004109
YLR120C	S000004110
YLR120W-A	S000028674
YLR121C	S000004111
YLR122C	S000004112
YLR123C	S000004113
YLR124W	S000004114
YLR125W	S000004115
YLR126C	S000004116
YLR127C	S000004117
YLR128W	S000004118
YLR129W	S000004119
YLR130C	S000004120
YLR131C	S000004121
YLR132C	S000004122
YLR133W	S000004123
YLR134W	S000004124
YLR135W	S000004125
YLR136C	S000004126
YLR137W	S000004127
YLR138W	S000004128
YLR139C	S000004129
YLR140W	S000004130
YLR141W	S000004131
YLR142W	S000004132
YLR143W	S000004133
YLR144C	S000004134
YLR145W	S000004135
YLR146C	S000004136
YLR146W-A	S000113566
YLR147C	S000004137
YLR148W	S000004138
YLR149C	S000004139
YLR149C-A	S000007619
YLR150W	S000004140
YLR151C	S000004141
YLR152C	S000004142
YLR153C	S000004143
YLR154C	S000004144
YLRWdelta6	S000007084
YLR154W-A	S000028675
YLR154W-B	S000028563
YLR154W-C	S000028422
YLR154W-E	S000028676
YLR154W-F	S000028843
YLR154C-G	S000028561
YLR154C-H	S000028562
YLR155C	S000004145
YLR156W	S000004146
YLR156C-A	S000028564
YLR157C	S000004147
YLR157W-D	S000028677
YLRCdelta7	S000007068
YLR157C-A	S000007373
YLR157C-B	S000007374
YLR157W-E	S000028678
YLRCTy1-1	S000007081
YLRCdelta8	S000007069
YLR157C-C	S000028565
YLR158C	S000004148
YLR159W	S000004149
YLR159C-A	S000028566
YLR160C	S000004150
YLR161W	S000004151
YLR162W	S000004152
YLR162W-A	S000028567
YLR163W-A	S000028844
YLR163C	S000004153
YLR164W	S000004154
YLR165C	S000004155
YLR166C	S000004156
YLR167W	S000004157
YLR168C	S000004158
YLR169W	S000004159
YLR171W	S000004161
YLR170C	S000004160
YLR172C	S000004162
YLR173W	S000004163
YLR174W	S000004164
YLR175W	S000004165
YLR176C	S000004166
YLR177W	S000004167
YLR178C	S000004168
YLR179C	S000004169
YLR180W	S000004170
YLR181C	S000004171
YLR182W	S000004172
YLR183C	S000004173
YLR184W	S000004174
YLR185W	S000004175
YLR186W	S000004176
YLR187W	S000004177
YLR188W	S000004178
YLR189C	S000004179
YLR190W	S000004180
YLR191W	S000004181
YLR192C	S000004182
YLR193C	S000004183
YLR194C	S000004184
YLR195C	S000004185
YLR196W	S000004186
YLR197W	S000004187
YLR198C	S000004188
YLR199C	S000004189
YLR200W	S000004190
YLR201C	S000004191
YLR202C	S000004192
YLR203C	S000004193
YLR204W	S000004194
